datetime,temp
1/1/2021,15
1/2/2021,15.4
1/3/2021,15.6
1/4/2021,16.3
1/5/2021,17.1
1/6/2021,16.5
1/7/2021,16.8
1/8/2021,15.3
1/9/2021,15
1/10/2021,15.2
1/11/2021,16
1/12/2021,16.1
1/13/2021,16.9
1/14/2021,17.6
1/15/2021,18
1/16/2021,17.7
1/17/2021,17.3
1/18/2021,18.3
1/19/2021,18
1/20/2021,18.5
1/21/2021,19.6
1/22/2021,22.6
1/23/2021,22.1
1/24/2021,17.1
1/25/2021,16.7
1/26/2021,17.2
1/27/2021,17.2
1/28/2021,17.6
1/29/2021,18.2
1/30/2021,18.2
1/31/2021,19.5
2/1/2021,20.7
2/2/2021,20.2
2/3/2021,21.2
2/4/2021,19.9
2/5/2021,19.7
2/6/2021,19.4
2/7/2021,19.7
2/8/2021,20.7
2/9/2021,20.8
2/10/2021,23.3
2/11/2021,21.6
2/12/2021,22
2/13/2021,21.4
2/14/2021,22.7
2/15/2021,22.1
2/16/2021,22.6
2/17/2021,22.7
2/18/2021,23
2/19/2021,24.7
2/20/2021,24.2
2/21/2021,23.8
2/22/2021,24.2
2/23/2021,23.4
2/24/2021,24.3
2/25/2021,25.4
2/26/2021,25.8
2/27/2021,25.9
2/28/2021,25.2
3/1/2021,24
3/2/2021,23.2
3/3/2021,25.2
3/4/2021,26.1
3/5/2021,26.9
3/6/2021,25.5
3/7/2021,26.5
3/8/2021,25.8
3/9/2021,26.1
3/10/2021,25.3
3/11/2021,25
3/12/2021,26.6
3/13/2021,27.7
3/14/2021,26.5
3/15/2021,27
3/16/2021,27.3
3/17/2021,27.5
3/18/2021,26.6
3/19/2021,27.8
3/20/2021,27.5
3/21/2021,27.1
3/22/2021,27.3
3/23/2021,26
3/24/2021,27.7
3/25/2021,28.8
3/26/2021,29
3/27/2021,29.7
3/28/2021,28.2
3/29/2021,28.3
3/30/2021,30.3
3/31/2021,32.2
4/1/2021,31.7
4/2/2021,30.8
4/3/2021,31.4
4/4/2021,29.2
4/5/2021,28.8
4/6/2021,28.8
4/7/2021,31.2
4/8/2021,30.1
4/9/2021,28.6
4/10/2021,30.8
4/11/2021,30.9
4/12/2021,29.8
4/13/2021,28.6
4/14/2021,27.9
4/15/2021,28.6
4/16/2021,30
4/17/2021,29.8
4/18/2021,29.1
4/19/2021,29.4
4/20/2021,30.6
4/21/2021,29.9
4/22/2021,29.4
4/23/2021,31.6
4/24/2021,32.4
4/25/2021,31.6
4/26/2021,30.8
4/27/2021,30
4/28/2021,30
4/29/2021,29.8
4/30/2021,31.4
5/1/2021,31.4
5/2/2021,31
5/3/2021,30.2
5/4/2021,30.6
5/5/2021,31
5/6/2021,31.3
5/7/2021,31.3
5/8/2021,32
5/9/2021,31.7
5/10/2021,30.7
5/11/2021,31
5/12/2021,30.7
5/13/2021,31.4
5/14/2021,30.9
5/15/2021,31.2
5/16/2021,35.3
5/17/2021,37.9
5/18/2021,35.2
5/19/2021,33.1
5/20/2021,31.6
5/21/2021,31.7
5/22/2021,32
5/23/2021,32.1
5/24/2021,31.7
5/25/2021,32.2
5/26/2021,32.7
5/27/2021,32.3
5/28/2021,32
5/29/2021,31.6
5/30/2021,31.8
5/31/2021,32.2
6/1/2021,31.8
6/2/2021,31.8
6/3/2021,31.9
6/4/2021,32
6/5/2021,32.1
6/6/2021,31.9
6/7/2021,32.2
6/8/2021,32.1
6/9/2021,31.4
6/10/2021,31.7
6/11/2021,32
6/12/2021,31.6
6/13/2021,32
6/14/2021,31.8
6/15/2021,31.7
6/16/2021,32.5
6/17/2021,32.3
6/18/2021,32.6
6/19/2021,32.4
6/20/2021,32
6/21/2021,31.8
6/22/2021,31.9
6/23/2021,31.7
6/24/2021,31.2
6/25/2021,31.4
6/26/2021,31.2
6/27/2021,31.8
6/28/2021,31.5
6/29/2021,31.1
6/30/2021,31.2
7/1/2021,31.2
7/2/2021,31.3
7/3/2021,31.2
7/4/2021,31.3
7/5/2021,31.2
7/6/2021,31.3
7/7/2021,30.8
7/8/2021,30.5
7/9/2021,30.5
7/10/2021,30.9
7/11/2021,31.6
7/12/2021,29.5
7/13/2021,33.2
7/14/2021,33.3
7/15/2021,32.4
7/16/2021,31.3
7/17/2021,32.3
7/18/2021,31
7/19/2021,29.2
7/20/2021,29.2
7/21/2021,29.9
7/22/2021,30.9
7/23/2021,31
7/24/2021,30.6
7/25/2021,30.5
7/26/2021,29.7
7/27/2021,29.1
7/28/2021,28.9
7/29/2021,28.9
7/30/2021,28.8
7/31/2021,28.7
8/1/2021,28.7
8/2/2021,28.5
8/3/2021,28.5
8/4/2021,28.4
8/5/2021,28.4
8/6/2021,29.1
8/7/2021,29.6
8/8/2021,29.6
8/9/2021,29.4
8/10/2021,28.7
8/11/2021,28.6
8/12/2021,28.4
8/13/2021,28.7
8/14/2021,28.7
8/15/2021,28.7
8/16/2021,29.2
8/17/2021,29.2
8/18/2021,29
8/19/2021,28.6
8/20/2021,28.8
8/21/2021,29.3
8/22/2021,29.6
8/23/2021,29.4
8/24/2021,29.5
8/25/2021,28.9
8/26/2021,28.7
8/27/2021,29
8/28/2021,29
8/29/2021,29.1
8/30/2021,29.8
8/31/2021,31.1
9/1/2021,32.2
9/2/2021,32.6
9/3/2021,28.2
9/4/2021,27.4
9/5/2021,29.1
9/6/2021,29.5
9/7/2021,29.9
9/8/2021,30.8
9/9/2021,28.7
9/10/2021,29.6
9/11/2021,30.1
9/12/2021,30.7
9/13/2021,30.7
9/14/2021,33.2
9/15/2021,33.5
9/16/2021,33.6
9/17/2021,32.5
9/18/2021,31.2
9/19/2021,30.4
9/20/2021,30.4
9/21/2021,29.6
9/22/2021,30
9/23/2021,29.2
9/24/2021,30.9
9/25/2021,31.3
9/26/2021,31
9/27/2021,30.1
9/28/2021,31.1
9/29/2021,33.5
9/30/2021,30.1
10/1/2021,27.7
10/2/2021,27.8
10/3/2021,29.1
10/4/2021,28.9
10/5/2021,28.6
10/6/2021,29.3
10/7/2021,30.5
10/8/2021,29.8
10/9/2021,28.8
10/10/2021,28.5
10/11/2021,29.3
10/12/2021,29.5
10/13/2021,29.2
10/14/2021,28.4
10/15/2021,28.2
10/16/2021,27.6
10/17/2021,27.3
10/18/2021,27.3
10/19/2021,25.9
10/20/2021,27.2
10/21/2021,27
10/22/2021,28
10/23/2021,28.5
10/24/2021,26.7
10/25/2021,26.7
10/26/2021,26.9
10/27/2021,26.9
10/28/2021,26.6
10/29/2021,26.3
10/30/2021,26.9
10/31/2021,26.4
11/1/2021,26.9
11/2/2021,26.6
11/3/2021,27.2
11/4/2021,26.5
11/5/2021,25.3
11/6/2021,25.8
11/7/2021,25.7
11/8/2021,25.6
11/9/2021,25.9
11/10/2021,25.8
11/11/2021,24.9
11/12/2021,25.3
11/13/2021,24.9
11/14/2021,24.1
11/15/2021,24.3
11/16/2021,24.1
11/17/2021,23.8
11/18/2021,22.5
11/19/2021,21.2
11/20/2021,22.6
11/21/2021,23.7
11/22/2021,23.9
11/23/2021,22.3
11/24/2021,24.2
11/25/2021,24.4
11/26/2021,23.5
11/27/2021,23.2
11/28/2021,23.7
11/29/2021,25.1
11/30/2021,24.5
12/1/2021,22.9
12/2/2021,22.9
12/3/2021,22.7
12/4/2021,21.7
12/5/2021,21.3
12/6/2021,22.3
12/7/2021,21
12/8/2021,20.4
12/9/2021,20.4
12/10/2021,20
12/11/2021,18.9
12/12/2021,19.6
12/13/2021,19.5
12/14/2021,20
12/15/2021,18.2
12/16/2021,17.1
12/17/2021,16.8
12/18/2021,16.7
12/19/2021,16.7
12/20/2021,17.9
12/21/2021,20.7
12/22/2021,21.7
12/23/2021,22.6
12/24/2021,22.5
12/25/2021,21.4
12/26/2021,22.2
12/27/2021,17.5
12/28/2021,17.9
12/29/2021,17.1
12/30/2021,17.1
12/31/2021,19.5
1/1/2022,18.4
1/2/2022,19.7
1/3/2022,20.2
1/4/2022,18.6
1/5/2022,17.8
1/6/2022,16.8
1/7/2022,16.4
1/8/2022,16
1/9/2022,14.9
1/10/2022,15.5
1/11/2022,16.5
1/12/2022,16.2
1/13/2022,16.7
1/14/2022,16.9
1/15/2022,17.6
1/16/2022,18.1
1/17/2022,19.6
1/18/2022,19.1
1/19/2022,20
1/20/2022,23.5
1/21/2022,23.7
1/22/2022,20
1/23/2022,16.7
1/24/2022,15.5
1/25/2022,16.1
1/26/2022,17.4
1/27/2022,17.1
1/28/2022,17.6
1/29/2022,19
1/30/2022,20.7
1/31/2022,23.2
2/1/2022,22.3
2/2/2022,22.9
2/3/2022,23.2
2/4/2022,21.5
2/5/2022,19.6
2/6/2022,21.5
2/7/2022,21.9
2/8/2022,20.9
2/9/2022,20.4
2/10/2022,20.7
2/11/2022,20.3
2/12/2022,20.6
2/13/2022,19.6
2/14/2022,20.3
2/15/2022,22.1
2/16/2022,22.4
2/17/2022,21.7
2/18/2022,22.5
2/19/2022,23.1
2/20/2022,24.8
2/21/2022,24
2/22/2022,24.6
2/23/2022,24.6
2/24/2022,22.9
2/25/2022,23.6
2/26/2022,24
2/27/2022,23.8
2/28/2022,24.1
3/1/2022,24
3/2/2022,24.8
3/3/2022,23.9
3/4/2022,24.8
3/5/2022,25.1
3/6/2022,24.4
3/7/2022,25.7
3/8/2022,26.5
3/9/2022,25.5
3/10/2022,26.1
3/11/2022,27.8
3/12/2022,28.7
3/13/2022,28.5
3/14/2022,28.1
3/15/2022,27.2
3/16/2022,27.1
3/17/2022,27.2
3/18/2022,27
3/19/2022,28.1
3/20/2022,27.7
3/21/2022,26.1
3/22/2022,25.7
3/23/2022,27.2
3/24/2022,28.5
3/25/2022,29.3
3/26/2022,28.5
3/27/2022,29.6
3/28/2022,29
3/29/2022,29
3/30/2022,30.7
3/31/2022,31
4/1/2022,30.2
4/2/2022,29.2
4/3/2022,28.7
4/4/2022,28.1
4/5/2022,29.4
4/6/2022,30.2
4/7/2022,31.4
4/8/2022,31.9
4/9/2022,30.3
4/10/2022,30
4/11/2022,28.8
4/12/2022,28.5
4/13/2022,28.9
4/14/2022,29.6
4/15/2022,30.2
4/16/2022,29.8
4/17/2022,29.6
4/18/2022,29.4
4/19/2022,29.4
4/20/2022,30.1
4/21/2022,30.1
4/22/2022,29.8
4/23/2022,29.7
4/24/2022,30.8
4/25/2022,30.4
4/26/2022,30.4
4/27/2022,31.1
4/28/2022,30.8
4/29/2022,32
4/30/2022,33
5/1/2022,32.9
5/2/2022,31.1
5/3/2022,30.6
5/4/2022,30.2
5/5/2022,29.9
5/6/2022,30.1
5/7/2022,30
5/8/2022,29.8
5/9/2022,30.3
5/10/2022,31
5/11/2022,31.2
5/12/2022,31.7
5/13/2022,34.2
5/14/2022,33.1
5/15/2022,30.9
5/16/2022,32.3
5/17/2022,32.6
5/18/2022,30.9
5/19/2022,30.3
5/20/2022,30.3
5/21/2022,30.9
5/22/2022,30.7
5/23/2022,32.3
5/24/2022,30.9
5/25/2022,30.8
5/26/2022,30.6
5/27/2022,30.9
5/28/2022,31
5/29/2022,30.7
5/30/2022,30.7
5/31/2022,30.9
6/1/2022,30.8
6/2/2022,31.4
6/3/2022,30.9
6/4/2022,30.4
6/5/2022,30.3
6/6/2022,30.2
6/7/2022,30.1
6/8/2022,30.3
6/9/2022,30.2
6/10/2022,30.8
6/11/2022,30.9
6/12/2022,31.5
6/13/2022,31.7
6/14/2022,31.6
6/15/2022,31.7
6/16/2022,31.8
6/17/2022,31.8
6/18/2022,31.6
6/19/2022,31.8
6/20/2022,31.3
6/21/2022,31.8
6/22/2022,31.1
6/23/2022,32.3
6/24/2022,33.1
6/25/2022,31.6
6/26/2022,32.4
6/27/2022,32.1
6/28/2022,32.4
6/29/2022,31.6
6/30/2022,31.5
7/1/2022,32
7/2/2022,31.4
7/3/2022,31.6
7/4/2022,31.1
7/5/2022,30.3
7/6/2022,30
7/7/2022,29.2
7/8/2022,28.7
7/9/2022,28.1
7/10/2022,29.2
7/11/2022,27.8
7/12/2022,30.3
7/13/2022,31.1
7/14/2022,31.9
7/15/2022,31.2
7/16/2022,30.9
7/17/2022,30.3
7/18/2022,28.8
7/19/2022,30
7/20/2022,30.3
7/21/2022,29.8
7/22/2022,29.4
7/23/2022,29.6
7/24/2022,27.7
7/25/2022,27.4
7/26/2022,28
7/27/2022,27.4
7/28/2022,28.3
7/29/2022,28.3
7/30/2022,28.6
7/31/2022,28.5
8/1/2022,27.9
8/2/2022,28.4
8/3/2022,29
8/4/2022,29.9
8/5/2022,30.1
8/6/2022,29.1
8/7/2022,29.5
8/8/2022,30.5
8/9/2022,31.5
8/10/2022,29.7
8/11/2022,30.7
8/12/2022,29.5
8/13/2022,27.2
8/14/2022,28.3
8/15/2022,28.8
8/16/2022,28.1
8/17/2022,27.8
8/18/2022,27.8
8/19/2022,28
8/20/2022,28.3
8/21/2022,28.5
8/22/2022,28.5
8/23/2022,28
8/24/2022,27.2
8/25/2022,28.1
8/26/2022,28.2
8/27/2022,28
8/28/2022,28.3
8/29/2022,28.2
8/30/2022,28.6
8/31/2022,28.7
9/1/2022,28.6
9/2/2022,28.8
9/3/2022,29.1
9/4/2022,28.8
9/5/2022,28.4
9/6/2022,28.9
9/7/2022,29.1
9/8/2022,29.7
9/9/2022,32.3
9/10/2022,33.1
9/11/2022,31.3
9/12/2022,28
9/13/2022,28.5
9/14/2022,30.1
9/15/2022,28.9
9/16/2022,28.4
9/17/2022,28.5
9/18/2022,29.3
9/19/2022,28.7
9/20/2022,28
9/21/2022,28.1
9/22/2022,28.4
9/23/2022,28
9/24/2022,27.9
9/25/2022,28.7
9/26/2022,28.7
9/27/2022,28.5
9/28/2022,28.2
9/29/2022,28.4
9/30/2022,28.1
10/1/2022,28.2
10/2/2022,28.3
10/3/2022,28.7
10/4/2022,29.2
10/5/2022,29.6
10/6/2022,29.1
10/7/2022,30.2
10/8/2022,31.4
10/9/2022,30.5
10/10/2022,29.3
10/11/2022,28
10/12/2022,26.8
10/13/2022,26.7
10/14/2022,26.6
10/15/2022,26.6
10/16/2022,28.3
10/17/2022,27.9
10/18/2022,27.5
10/19/2022,27.3
10/20/2022,27.3
10/21/2022,28.2
10/22/2022,28.6
10/23/2022,27.5
10/24/2022,27.2
10/25/2022,27.9
10/26/2022,28.2
10/27/2022,27.5
10/28/2022,27.1
10/29/2022,26.9
10/30/2022,27.4
10/31/2022,27
11/1/2022,27.1
11/2/2022,27.8
11/3/2022,27.5
11/4/2022,27.5
11/5/2022,26.4
11/6/2022,25.7
11/7/2022,24.4
11/8/2022,24.6
11/9/2022,24.9
11/10/2022,25.9
11/11/2022,26.4
11/12/2022,26.2
11/13/2022,25.9
11/14/2022,26.7
11/15/2022,25
11/16/2022,24.4
11/17/2022,25.3
11/18/2022,24.8
11/19/2022,25.1
11/20/2022,25.2
11/21/2022,24.7
11/22/2022,25.3
11/23/2022,23.6
11/24/2022,23
11/25/2022,22.5
11/26/2022,22.8
11/27/2022,23
11/28/2022,22.6
11/29/2022,22.3
11/30/2022,21.3
12/1/2022,21.3
12/2/2022,21.1
12/3/2022,21.7
12/4/2022,21.3
12/5/2022,21.2
12/6/2022,21.5
12/7/2022,20.8
12/8/2022,21.3
12/9/2022,22.2
12/10/2022,22.3
12/11/2022,22.9
12/12/2022,22.5
12/13/2022,21.4
12/14/2022,22.3
12/15/2022,20.2
12/16/2022,19.8
12/17/2022,20.3
12/18/2022,20.6
12/19/2022,20.2
12/20/2022,20.7
12/21/2022,19.1
12/22/2022,18.6
12/23/2022,17.5
12/24/2022,17.4
12/25/2022,17.5
12/26/2022,18.1
12/27/2022,18.8
12/28/2022,19.3
12/29/2022,21.8
12/30/2022,20.6
12/31/2022,18.7
1/1/2023,19
1/2/2023,18.6
1/3/2023,18.2
1/4/2023,17.4
1/5/2023,16.4
1/6/2023,17.9
1/7/2023,19.9
1/8/2023,19.4
1/9/2023,18.8
1/10/2023,19.4
1/11/2023,21.3
1/12/2023,19.5
1/13/2023,16.2
1/14/2023,15.2
1/15/2023,14.3
1/16/2023,15.9
1/17/2023,15.7
1/18/2023,16.9
1/19/2023,18
1/20/2023,17.5
1/21/2023,16.8
1/22/2023,15.8
1/23/2023,15.4
1/24/2023,14.6
1/25/2023,14.8
1/26/2023,15.3
1/27/2023,16.1
1/28/2023,17.4
1/29/2023,17.6
1/30/2023,18.1
1/31/2023,19.3
2/1/2023,18
2/2/2023,18.1
2/3/2023,18.9
2/4/2023,20.7
2/5/2023,21.3
2/6/2023,24.7
2/7/2023,21.8
2/8/2023,21.6
2/9/2023,22.8
2/10/2023,23.7
2/11/2023,23.2
2/12/2023,22.5
2/13/2023,20.8
2/14/2023,21.6
2/15/2023,22.2
2/16/2023,22.2
2/17/2023,22.5
2/18/2023,22.1
2/19/2023,22
2/20/2023,23.6
2/21/2023,24.4
2/22/2023,23.3
2/23/2023,23.3
2/24/2023,23.3
2/25/2023,24.5
2/26/2023,25.3
2/27/2023,24.6
2/28/2023,24.3
3/1/2023,24.4
3/2/2023,26.3
3/3/2023,26.7
3/4/2023,27.4
3/5/2023,27.2
3/6/2023,27.9
3/7/2023,26.7
3/8/2023,26.7
3/9/2023,27.5
3/10/2023,27
3/11/2023,27.1
3/12/2023,27.3
3/13/2023,25.4
3/14/2023,25.4
3/15/2023,26.5
3/16/2023,26.5
3/17/2023,27
3/18/2023,26.6
3/19/2023,25.9
3/20/2023,25.1
3/21/2023,24.8
3/22/2023,24.8
3/23/2023,24
3/24/2023,25.3
3/25/2023,25.5
3/26/2023,25.8
3/27/2023,26.8
3/28/2023,26.2
3/29/2023,26.6
3/30/2023,25.7
3/31/2023,26.6
4/1/2023,26.7
4/2/2023,26.3
4/3/2023,27
4/4/2023,26.4
4/5/2023,26.7
4/6/2023,26.5
4/7/2023,28.5
4/8/2023,28.5
4/9/2023,27.7
4/10/2023,26.1
4/11/2023,26.5
4/12/2023,28.6
4/13/2023,28.3
4/14/2023,27.6
4/15/2023,28
4/16/2023,28.3
4/17/2023,28.4
4/18/2023,28.5
4/19/2023,29.3
4/20/2023,30.2
4/21/2023,30
4/22/2023,29.5
4/23/2023,30
4/24/2023,30.4
4/25/2023,29.9
4/26/2023,28.8
